partType,name,image,url,size
case,Corsair 7000D AIRFLOW ATX Full Tower Case (CC-9011218WW),https://cdna.pcpartpicker.com/static/forever/images/product/aa86351c8df24a48c98e7a14f50631a3.256p.jpg,https://pcpartpicker.com/product/4fhFf7/corsair-7000d-airflow-atx-mid-tower-case-cc-9011218ww,ATX
case,NZXT H510 Flow ATX Mid Tower Case (CA-H52FW-01),https://cdna.pcpartpicker.com/static/forever/images/product/e323af9a28f2a3a80700a2db3998fb09.256p.jpg,https://pcpartpicker.com/product/dkRYcf/nzxt-h510-flow-atx-mid-tower-case-ca-h52fw-01,ATX
case,Fractal Design Pop XL Air ATX Full Tower Case (FD-C-POR1X-06),https://cdna.pcpartpicker.com/static/forever/images/product/048e9d2f829061df55885fb8eabd5952.256p.jpg,https://pcpartpicker.com/product/8qFbt6/fractal-design-pop-xl-air-atx-full-tower-case-fd-c-por1x-06,ATX
case,Corsair iCUE 4000X RGB ATX Mid Tower Case (CC-9011205-WW),https://cdna.pcpartpicker.com/static/forever/images/product/3a87f7d1da63e23f30f3e4bf032ae7c5.256p.jpg,https://pcpartpicker.com/product/jNCFf7/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011205-ww,ATX
case,Lian Li O11 Dynamic Mini ATX Mid Tower Case (O11D Mini-X),https://cdna.pcpartpicker.com/static/forever/images/product/c067673d9018218168704cc6ed3b10df.256p.jpg,https://pcpartpicker.com/product/ByJmP6/lian-li-o11-dynamic-mini-atx-mid-tower-case-o11d-mini-x,ATX
case,Fractal Design Meshify C ATX Mid Tower Case (FD-CA-MESH-C-BKO-TG),https://cdna.pcpartpicker.com/static/forever/images/product/5e077c6b1272ca2c11e4f7df6326370a.256p.jpg,https://pcpartpicker.com/product/Y6Crxr/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko-tg,ATX
case,NZXT H510 ATX Mid Tower Case (CA-H510B-B1),https://cdna.pcpartpicker.com/static/forever/images/product/cddea328a7447afc83e6b561f9448abb.256p.jpg,https://pcpartpicker.com/product/b7hmP6/nzxt-h510-atx-mid-tower-case-ca-h510b-b1,ATX
case,NZXT H9 Elite ATX Mid Tower Case (CM-H91EW-01),https://cdna.pcpartpicker.com/static/forever/images/product/b1bef448b0e5397e703971eef3a08e40.256p.jpg,https://pcpartpicker.com/product/mWYmP6/nzxt-h9-elite-atx-mid-tower-case-cm-h91ew-01,ATX
case,Fractal Design North ATX Mid Tower Case (FD-C-NOR1C-04),https://cdna.pcpartpicker.com/static/forever/images/product/b27a7e4bc53387580b31da81c7df34ab.256p.jpg,https://pcpartpicker.com/product/Pmytt6/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-04,ATX
case,HYTE Y60 ATX Mid Tower Case (CS-HYTE-Y60-B),https://cdna.pcpartpicker.com/static/forever/images/product/aba78f3e5e8c4fbe22c28f66c5d9c60b.256p.jpg,https://pcpartpicker.com/product/H6VmP6/hyte-y60-atx-mid-tower-case-cs-hyte-y60-b,ATX
