partType,name,image,url,brand,socket,size
motherboard,MSI Z270 GAMING PRO CARBON ATX LGA1151 Motherboard (Z270 GAMING PRO CARBON),https://cdna.pcpartpicker.com/static/forever/images/product/c4d2077e59af304ae324c8b511acfdb3.256p.jpg,https://pcpartpicker.com/product/yY8H99/msi-z270-gaming-pro-carbon-atx-lga1151-motherboard-z270-gaming-pro-carbon,Intel,LGA 1151,ATX
motherboard,Asus ROG STRIX Z370-E GAMING ATX LGA1151 Motherboard (Strix Z370-E Gaming),https://cdna.pcpartpicker.com/static/forever/images/product/6a4a5f429b21304f2f8975cc6e49635d.256p.jpg,https://pcpartpicker.com/product/8sRFf7/asus-rog-strix-z370-e-gaming-atx-lga1151-motherboard-strix-z370-e-gaming,Intel,LGA 1151,ATX
motherboard,ASRock H310CM-HDV Micro ATX LGA1151 Motherboard (H310CM-HDV),https://cdna.pcpartpicker.com/static/forever/images/product/6ddc849457b30257731dd578e6447a8e.256p.jpg,https://pcpartpicker.com/product/xJ66Mp/asrock-h310cm-hdv-micro-atx-lga1151-motherboard-h310cm-hdv,Intel,LGA 1151,ATX
motherboard,Asus Z170 PRO GAMING ATX LGA1151 Motherboard (Z170 PRO GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/05bf77116d4f907a71715e727e89dfd1.256p.jpg,https://pcpartpicker.com/product/KgJkcf/asus-motherboard-z170progaming,Intel,LGA 1151,ATX
motherboard,Asus STRIX Z270-E GAMING ATX LGA1151 Motherboard (STRIX Z270-E GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/4de138bdc4e9d1296abcb8f10348dda3.256p.jpg,https://pcpartpicker.com/product/2Phj4D/asus-strix-z270-e-gaming-atx-lga1151-motherboard-strix-z270-e-gaming,Intel,LGA 1151,ATX
motherboard,Asus PRIME B360M-A Micro ATX LGA1151 Motherboard (PRIME B360M-A),https://cdna.pcpartpicker.com/static/forever/images/product/9b3ca7e00f3482f627f6a30446983a73.256p.jpg,https://pcpartpicker.com/product/WfF48d/asus-prime-b360m-a-micro-atx-lga1151-motherboard-prime-b360m-a,Intel,LGA 1151,ATX
motherboard,MSI MPG Z390 GAMING PRO CARBON ATX LGA1151 Motherboard (MPG Z390 GAMING PRO CARBON),https://cdna.pcpartpicker.com/static/forever/images/product/91d7402ac6c9d16afc48f31c5165cf3d.256p.jpg,https://pcpartpicker.com/product/p2GxFT/msi-mpg-z390-gaming-pro-carbon-atx-lga1151-motherboard-mpg-z390-gaming-pro-carbon,Intel,LGA 1151,ATX
motherboard,Asus H110M-K Micro ATX LGA1151 Motherboard (H110M-K),https://cdna.pcpartpicker.com/static/forever/images/product/71fdafdc764e65c147d537c0a0879451.256p.jpg,https://pcpartpicker.com/product/yntWGX/asus-motherboard-h110mk,Intel,LGA 1151,ATX
motherboard,MSI Z270-A PRO ATX LGA1151 Motherboard (Z270-A PRO),https://cdna.pcpartpicker.com/static/forever/images/product/fe329be147afc26ea9a6ce0a10f7c3e0.256p.jpg,https://pcpartpicker.com/product/KvvZxr/msi-z270-a-pro-atx-lga1151-motherboard-z270-a-pro,Intel,LGA 1151,ATX
motherboard,Asus TUF Z390-PLUS GAMING (WI-FI) ATX LGA1151 Motherboard (TUF Z390-PLUS GAMING (WI-FI)),https://cdna.pcpartpicker.com/static/forever/images/product/4837fe3b0fe844e85052ae32c6d034fb.256p.jpg,https://pcpartpicker.com/product/YXqhP6/asus-tuf-z390-plus-gaming-wi-fi-atx-lga1151-motherboard-tuf-z390-plus-gaming-wi-fi,Intel,LGA 1151,ATX
motherboard,Asus PRIME H310M-K R2.0 Micro ATX LGA1151 Motherboard (PRIME H310M-K R2.0),https://cdna.pcpartpicker.com/static/forever/images/product/76bb8c8dce1eb23094986ef859fdbc3d.256p.jpg,https://pcpartpicker.com/product/NbjNnQ/asus-prime-h310m-k-r20-micro-atx-lga1151-motherboard-prime-h310m-k-r20,Intel,LGA 1151,ATX
motherboard,Asus ROG STRIX Z390-F GAMING ATX LGA1151 Motherboard (STRIX Z390-F GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/6ea4c987730f1af0c4819fa9065b52ef.256p.jpg,https://pcpartpicker.com/product/CM7v6h/asus-rog-strix-z390-f-gaming-atx-lga1151-motherboard-rog-strix-z390-f-gaming,Intel,LGA 1151,ATX
motherboard,MSI B360M BAZOOKA Micro ATX LGA1151 Motherboard (B360M BAZOOKA),https://cdna.pcpartpicker.com/static/forever/images/product/ab5f4f4dd5308a7492568f7718f82942.256p.jpg,https://pcpartpicker.com/product/bRgzK8/msi-b360m-bazooka-mini-itx-lga1151-motherboard-b360m-bazooka,Intel,LGA 1151,ATX
motherboard,Asus Prime Z370-P ATX LGA1151 Motherboard (Prime Z370-P),https://cdna.pcpartpicker.com/static/forever/images/product/d04aba5ceda5d224b563158303a7ff58.256p.jpg,https://pcpartpicker.com/product/mKCrxr/asus-prime-z370-p-atx-lga1151-motherboard-prime-z370-p,Intel,LGA 1151,ATX
motherboard,Gigabyte GA-B250M-DS3H Micro ATX LGA1151 Motherboard (GA-B250M-DS3H),https://cdna.pcpartpicker.com/static/forever/images/product/f5dd197bfd91495b247f321158791a78.256p.jpg,https://pcpartpicker.com/product/VM2rxr/gigabyte-ga-b250m-ds3h-micro-atx-lga1151-motherboard-ga-b250m-ds3h,Intel,LGA 1151,ATX
motherboard,MSI Z170A GAMING M5 ATX LGA1151 Motherboard (Z170A GAMING M5),https://cdna.pcpartpicker.com/static/forever/images/product/70108a99db41263b1da59e523df5e202.256p.jpg,https://pcpartpicker.com/product/F9Gj4D/msi-motherboard-z170agamingm5,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 GAMING X ATX LGA1151 Motherboard (Z390 GAMING X),https://cdna.pcpartpicker.com/static/forever/images/product/82bfdb7958549efbe0b912c0e07be8a7.256p.jpg,https://pcpartpicker.com/product/CdPKHx/gigabyte-z390-gaming-x-atx-lga1151-motherboard-z390-gaming-x,Intel,LGA 1151,ATX
motherboard,Asus MAXIMUS VIII HERO ATX LGA1151 Motherboard (MAXIMUS VIII HERO),https://cdna.pcpartpicker.com/static/forever/images/product/f45b2ed718d6f2060b8de29b74c77947.256p.jpg,https://pcpartpicker.com/product/tBZ2FT/asus-motherboard-maximusviiihero,Intel,LGA 1151,ATX
motherboard,MSI H310M PRO-VDH PLUS Micro ATX LGA1151 Motherboard (H310M PRO-VDH PLUS),https://cdna.pcpartpicker.com/static/forever/images/product/ef5567af61e7015374ee976b865884a1.256p.jpg,https://pcpartpicker.com/product/KWgzK8/msi-h310m-pro-vdh-plus-micro-atx-am4-motherboard-h310m-pro-vdh-plus,Intel,LGA 1151,ATX
motherboard,MSI MAG Z390 TOMAHAWK ATX LGA1151 Motherboard (MAG Z390 TOMAHAWK),https://cdna.pcpartpicker.com/static/forever/images/product/a4862844df572e00e0482c855de408e5.256p.jpg,https://pcpartpicker.com/product/3yrmP6/msi-mag-z390-tomahawk-atx-lga1151-motherboard-mag-z390-tomahawk,Intel,LGA 1151,ATX
motherboard,ASRock H110M-DVS R3.0 Micro ATX LGA1151 Motherboard (H110M-DVS R3.0),https://cdna.pcpartpicker.com/static/forever/images/product/2a93175c26eac38d301a2f6e74fab75d.256p.jpg,https://pcpartpicker.com/product/MwFKHx/asrock-h110m-dvs-r30-micro-atx-lga1151-motherboard-h110m-dvs-r30,Intel,LGA 1151,ATX
