partType,name,image,url,power,size
psu,Fractal Design Tesla R2 1000 W 80+ Gold Certified ATX Power Supply (FD-PSU-TS2B-1000W),https://images-na.ssl-images-amazon.com/images/I/412wt1tYXcL.jpg,https://pcpartpicker.com/product/PtPfrH/fractal-design-power-supply-fdpsuts2b1000w,1000,ATX
psu,Super Flower Leadex Gold 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (SF-1000F14MG),https://cdna.pcpartpicker.com/static/forever/images/product/a93c8b575469f0c86d1e03a42a351566.256p.jpg,https://pcpartpicker.com/product/ZWMFf7/super-flower-power-supply-sf1000f14mg,1000,ATX
psu,Super Flower Leadex V Gold Pro 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (SF-1000F14TG v2.0),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/h6Gbt6/super-flower-leadex-v-gold-pro-1000-w-80-gold-certified-fully-modular-atx-power-supply-sf-1000f14tg-v20,1000,ATX
psu,Segotep GM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (GM1000W-W),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/ZjpQzy/segotep-gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-gm1000w-w,1000,ATX
psu,OCZ ZX 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (OCZ-ZX1000W),https://images-na.ssl-images-amazon.com/images/I/41GRiS7kpcL.jpg,https://pcpartpicker.com/product/QFNp99/ocz-power-supply-oczzx1000w,1000,ATX
psu,Sparkle GW-EPS1000DA 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (GW-EPS1000DA),https://images-na.ssl-images-amazon.com/images/I/51zJBwkprjL.jpg,https://pcpartpicker.com/product/fYGkcf/sparkle-power-supply-gweps1000da,1000,ATX
psu,Azza PSAZ-1000A14 1000 W 80+ Bronze Certified ATX Power Supply (PSAZ-1000A14),https://images-na.ssl-images-amazon.com/images/I/51TFy59f3uL.jpg,https://pcpartpicker.com/product/2F2kcf/azza-power-supply-psaz1000a14,1000,ATX
psu,Thortech Thunderbolt 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (TTBK00G),https://images-na.ssl-images-amazon.com/images/I/51PmHd7VdEL.jpg,https://pcpartpicker.com/product/H96BD3/thortech-power-supply-ttbk00g,1000,ATX
psu,XClio STABLEPOWER GOLD 1000W 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (STABLEPOWER GOLD 1000W),https://cdna.pcpartpicker.com/static/forever/images/product/5edbc540f7d476b62e242eb9aebc69ae.med.256p.jpg,https://pcpartpicker.com/product/nyMFf7/xclio-power-supply-stablepowergold1000w,1000,ATX
psu,Silverstone Strider 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (SST-ST1000-G Evolution),https://m.media-amazon.com/images/I/413Q7rCLsEL.jpg,https://pcpartpicker.com/product/XJLypg/silverstone-power-supply-sstst1000gevolution,1000,ATX
psu,Raidmax Cobra 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (RX-1000AE-B),https://cdna.pcpartpicker.com/static/forever/images/product/0c8299eb2d62bcb9629eb7ea3fbc45f4.256p.jpg,https://pcpartpicker.com/product/QkfhP6/raidmax-cobra-1000w-80-gold-certified-semi-modular-atx-power-supply-rx-1000ae-b,1000,ATX
psu,Azza PSAZ-1000PT14 1000 W 80+ Platinum Certified Semi-modular ATX Power Supply (PSAZ-1000PT14),https://images-na.ssl-images-amazon.com/images/I/516eLP0PzSL.jpg,https://pcpartpicker.com/product/tLGkcf/azza-power-supply-psaz1000pt14,1000,ATX
psu,Sentey MBP HM 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (MBP1000-HM),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/Vz7p99/sentey-mbp-hm-1000-w-80-bronze-certified-semi-modular-atx-power-supply-mbp1000-hm,1000,ATX
psu,OCZ Z Series Gold 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (OCZZ1000M),https://images-na.ssl-images-amazon.com/images/I/51%2BPi5Wn20L.jpg,https://pcpartpicker.com/product/2G4gXL/ocz-power-supply-oczz1000m,1000,ATX
psu,Thermaltake Toughpower 1000 W 80+ Bronze Certified Fully Modular ATX Power Supply (W0132RU),https://cdna.pcpartpicker.com/static/forever/images/product/08f0a50012ef75e03091db34627d26d9.256p.jpg,https://pcpartpicker.com/product/q2CwrH/thermaltake-power-supply-w0132ru,1000,ATX
psu,Zalman 1000-HP Plus 1000 W 80+ Silver Certified Fully Modular ATX Power Supply (1000-HP Plus),https://images-na.ssl-images-amazon.com/images/I/31gp%2B34agXL.jpg,https://pcpartpicker.com/product/rjV48d/zalman-power-supply-1000hpplus,1000,ATX
psu,XClio STABLEPOWER 1000W 1000 W ATX Power Supply (STABLEPOWER 1000W),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/JJ4gXL/xclio-power-supply-stablepower1000w,1000,ATX
psu,Xion XON-1000P14F 1000 W ATX Power Supply (XON-1000P14F),https://images-na.ssl-images-amazon.com/images/I/51KURsxBLWL.jpg,https://pcpartpicker.com/product/ccphP6/xion-power-supply-xon1000p14f,1000,ATX
psu,Mushkin MKNPSJL1000 1000 W 80+ Gold Certified ATX Power Supply (MKNPSJL1000),https://images-na.ssl-images-amazon.com/images/I/31wxzC4CpLL.jpg,https://pcpartpicker.com/product/Npckcf/mushkin-power-supply-mknpsjl1000,1000,ATX
psu,Enermax Platimax 1000 W 80+ Platinum Certified Semi-modular ATX Power Supply (EPM1000EWT),https://cdna.pcpartpicker.com/static/forever/images/product/79a7299443e6c8c98649aec126dc4cc9.256p.jpg,https://pcpartpicker.com/product/8P4gXL/enermax-power-supply-epm1000ewt,1000,ATX
