partType,name,image,url,brand,socket,speed,coreCount,threadCount,power
cpu,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core Processor (100-100000651WOF),https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,AMD,AM4,3.4,8,16,50
cpu,AMD Ryzen 9 5900X 3.7 GHz 12-Core Processor (100-100000061WOF),https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,AMD,AM4,3.7,8,16,50
cpu,AMD Ryzen 9 5950X 3.4 GHz 16-Core Processor (100-100000059WOF),https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,AMD,AM4,3.4,8,16,50
cpu,AMD Ryzen 5 7500F 3.7 GHz 6-Core Processor (100-100000597BOX),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,AMD,AM5,3.7,6,12,65
cpu,AMD Ryzen 5 7600X 4.7 GHz 6-Core Processor (100-100000593WOF),https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,AMD,AM5,4.7,6,12,65
cpu,AMD Ryzen 5 7600 3.8 GHz 6-Core Processor (100-100001015BOX),https://cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,AMD,AM5,3.8,6,12,65
cpu,AMD Ryzen 5 PRO 7645 3.8 GHz 6-Core OEM/Tray Processor (100-000000600),https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,https://pcpartpicker.com/product/WkwmP6/amd-ryzen-5-pro-7645-38-ghz-6-core-oemtray-processor-100-000000600,AMD,AM5,3.8,6,12,65
cpu,AMD Ryzen 7 7700X 4.5 GHz 8-Core Processor (100-100000591WOF),https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,AMD,AM5,4.5,8,16,100
cpu,AMD Ryzen 7 7700 3.6 GHz 8-Core Processor (100-100000592BOX),https://cdna.pcpartpicker.com/static/forever/images/product/6e6bcad6744a6a7302394f2edf5a6e34.256p.jpg,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,AMD,AM5,3.6,8,16,100
cpu,AMD Ryzen 7 PRO 7745 3.8 GHz 8-Core OEM/Tray Processor (100-000000599),https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,https://pcpartpicker.com/product/6988TW/amd-ryzen-7-pro-7745-38-ghz-8-core-oemtray-processor-100-000000599,AMD,AM5,3.8,8,16,100
cpu,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core Processor (100-100000910WOF),https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,AMD,AM5,4.2,8,16,100
cpu,AMD Ryzen 9 7900X 4.7 GHz 12-Core Processor (100-100000589WOF),https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,AMD,AM5,4.7,12,24,120
cpu,AMD Ryzen 9 7900X3D 4.4 GHz 12-Core Processor (100-100000909WOF),https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,AMD,AM5,4.4,12,24,120
cpu,AMD Ryzen 9 7900 3.6 GHz 12-Core Processor (100-100000590BOX),https://cdna.pcpartpicker.com/static/forever/images/product/119ef93ef95a60950418031082149c5b.256p.jpg,https://pcpartpicker.com/product/P3cG3C/amd-ryzen-9-7900-36-ghz-12-core-processor-100-100000590box,AMD,AM5,3.6,12,24,120
cpu,AMD Ryzen 9 PRO 7945 3.7 GHz 12-Core OEM/Tray Processor (100-000000598),https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,https://pcpartpicker.com/product/jTrqqs/amd-ryzen-9-pro-7945-37-ghz-12-core-oemtray-processor-100-000000598,AMD,AM5,3.7,12,24,120
cpu,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core Processor (100-100000908WOF),https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,AMD,AM5,4.2,16,32,170
cpu,AMD Ryzen 9 7950X 4.5 GHz 16-Core Processor (100-100000514WOF),https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,AMD,AM5,4.5,16,32,170
