partType,name,image,url,type,size
memory,Patriot Viper 3 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (PV38G160C9K),https://m.media-amazon.com/images/I/41qqKfmwKcL.jpg,https://pcpartpicker.com/product/nBCwrH/patriot-memory-pv38g160c9k,DDR3,8
memory,Kingston HyperX Fury 8 GB (2 x 4 GB) DDR3-1866 CL10 Memory (HX318C10FBK2/8),https://cdna.pcpartpicker.com/static/forever/images/product/3069d253da2fc49a0ff6e0ed0d100944.256p.jpg,https://pcpartpicker.com/product/KGsKHx/kingston-memory-hx318c10fbk28,DDR3,8
memory,G.Skill Ripjaws X 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (F3-12800CL9Q-16GBXL),https://m.media-amazon.com/images/I/41ZGmAxPU0L.jpg,https://pcpartpicker.com/product/QmTmP6/gskill-memory-f312800cl9q16gbxl,DDR3,16
memory,G.Skill Ripjaws Z 32 GB (4 x 8 GB) DDR3-1600 CL10 Memory (F3-12800CL10Q-32GBZL),https://m.media-amazon.com/images/I/41PwqQALIEL.jpg,https://pcpartpicker.com/product/kcXfrH/gskill-memory-f312800cl10q32gbzl,DDR3,32
memory,Corsair Vengeance Pro 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMY16GX3M2A1600C9R),https://cdna.pcpartpicker.com/static/forever/images/product/d69bd5f987f43a7a8476f464eedc278d.256p.jpg,https://pcpartpicker.com/product/7x7wrH/corsair-memory-cmy16gx3m2a1600c9r,DDR3,16
memory,Timetec 75TT133U2R8-8G 8 GB (1 x 8 GB) DDR3-1333 CL9 Memory (75TT133U2R8-8G),https://m.media-amazon.com/images/I/41fd7cMkcdL.jpg,https://pcpartpicker.com/product/2C2WGX/timetec-75tt133u2r8-8g-8-gb-1-x-8-gb-ddr3-1333-cl9-memory-75tt133u2r8-8g,DDR3,8
memory,G.Skill Ripjaws X 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (F3-1600C9D-16GXM),https://cdna.pcpartpicker.com/static/forever/images/product/3a5c77bc2343bb42bbd4769dc87f52a5.256p.jpg,https://pcpartpicker.com/product/kP4gXL/gskill-memory-f31600c9d16gxm,DDR3,16
memory,Kingston KVR16N11/8 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (KVR16N11/8),https://cdna.pcpartpicker.com/static/forever/images/product/724dc0f64ada2b3e6cdb061fdb49043e.256p.jpg,https://pcpartpicker.com/product/m2PfrH/kingston-memory-kvr16n118,DDR3,8
memory,Kingston KCP316ND8/8 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (KCP316ND8/8),https://cdna.pcpartpicker.com/static/forever/images/product/90b3b48c3d59e8bb74172ac55bdc751b.256p.jpg,https://pcpartpicker.com/product/wXyxFT/kingston-memory-kcp316nd88,DDR3,8
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory (HX318C10FRK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/8145980461eceeb36aa2a5823b26e11d.256p.jpg,https://pcpartpicker.com/product/DMJwrH/kingston-memory-hx318c10frk216,DDR3,16
